u,v,w
N1,N2,105.5
N3,N4,143.5
N5,N6,333.2
N7,N8,261.7
N10,N9,357.3
N11,N12,321.1
N13,N14,147.9
N15,N16,170.8
N17,N18,303.4
N12,N21,47.7
N22,N23,18.2
N24,N25,43.9
N2,N22,20.1
N26,N4,364.7
N10,N11,11.9
N27,N28,955.7
N29,N30,29.3
N24,N31,30.7
N1,N32,346.3
N33,N7,132.0
N10,N34,312.6
N35,N36,240.1
N38,N39,450.4
N40,N41,453.7
N42,N43,80.3
N44,N5,11.2
N44,N45,51.1
N24,N46,583.1
N47,N48,918.4
N30,N49,158.3
N49,N50,19.4
N51,N52,43.1
N52,N53,12.9
N52,N54,27.6
N55,N9,386.2
N56,N57,106.4
N58,N59,399.2
N60,N9,181.3
N56,N61,112.8
N62,N63,30.6
N64,N65,21.6
N43,N66,200.1
N66,N67,76.7
N67,N68,39.5
N69,N70,246.6
N70,N71,110.9
N71,N72,202.9
N73,N74,73.0
N74,N75,51.7
N42,N76,36.2
N77,N78,31.7
N42,N79,26.9
N79,N80,42.5
N73,N81,83.4
N82,N83,61.3
N84,N85,74.2
N86,N87,86.9
N88,N89,29.1
N90,N91,40.8
N92,N93,54.7
N94,N95,63.1
N43,N96,58.3
N97,N98,48.6
N75,N99,58.4
N100,N72,65.7
N102,N103,27.9
N104,N82,150.3
N105,N56,190.2
N106,N9,156.2
N107,N108,11.5
N109,N110,109.2
N111,N112,109.1
N108,N113,88.0
N104,N114,65.9
N115,N66,92.4
N116,N117,69.0
N118,N119,319.1
N120,N121,169.1
N122,N18,139.6
N123,N124,50.2
N125,N126,160.9
N105,N121,111.3
N121,N125,22.4
N127,N128,285.4
N129,N130,29.3
N131,N132,236.3
N133,N134,132.8
N135,N136,9.3
N137,N22,51.9
N137,N8,187.7
N138,N18,67.6
N139,N140,106.6
N101,N141,16.2
N142,N73,44.3
N136,N34,5.7
N143,N19,7.8
N144,N72,60.5
N141,N145,36.1
N146,N147,41.0
N148,N149,47.3
N43,N45,5.3
N150,N151,69.4
N152,N153,68.7
N154,N155,69.2
N156,N71,70.7
N157,N42,30.5
N142,N157,33.8
N157,N75,34.6
N158,N159,474.4
N160,N161,32.0
N162,N163,31.6
N164,N165,31.5
N164,N166,36.9
N167,N168,52.2
N169,N170,25.2
N171,N172,53.5
N173,N174,49.1
N175,N176,88.3
N177,N178,22.2
N179,N51,335.8
N180,N181,44.6
N182,N183,6.7
N184,N185,23.1
N186,N187,155.4
N188,N35,31.5
N10,N36,44.8
N189,N35,24.4
N11,N126,28.2
N187,N37,100.1
N187,N190,100.0
N1,N191,108.7
N124,N16,100.7
N192,N7,64.1
N193,N7,71.8
N194,N195,87.5
N196,N40,42.4
N197,N60,90.2
N195,N40,4.2
N195,N196,29.7
N198,N199,143.6
N200,N201,82.6
